index,tag,name,BATCH,NH,SEQ_Q,SEQ_KV,D_HEAD,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
1,llama70battention,amdsharkfa,1,32,1024,1024,128,fp16,94.3971,170.6667,181.9958,True
4,llama70battention,amdsharkfa,1,32,1024,2048,128,fp16,162.3225,186.1818,211.6757,True
7,llama70battention,amdsharkfa,1,32,1024,4096,128,fp16,285.4228,195.0476,240.7638,True
9,llama70battention,amdsharkfa,1,32,2048,1024,128,fp16,159.2827,186.1818,215.7155,True
12,llama70battention,amdsharkfa,1,32,2048,2048,128,fp16,279.1667,204.8,246.1593,True
16,llama70battention,amdsharkfa,1,32,2048,4096,128,fp16,527.463,215.5789,260.5661,True
18,llama70battention,amdsharkfa,1,32,4096,1024,128,fp16,284.3118,195.0476,241.7046,True
22,llama70battention,amdsharkfa,1,32,4096,2048,128,fp16,525.2576,215.5789,261.6601,True
25,llama70battention,amdsharkfa,1,40,1024,1024,128,fp16,148.4036,170.6667,144.7056,True
27,llama70battention,amdsharkfa,1,40,1024,2048,128,fp16,273.7689,186.1818,156.883,True
30,llama70battention,amdsharkfa,1,40,1024,4096,128,fp16,524.0989,195.0476,163.8991,True
33,llama70battention,amdsharkfa,1,40,2048,1024,128,fp16,209.5079,186.1818,205.0026,True
35,llama70battention,amdsharkfa,1,40,2048,2048,128,fp16,382.3137,204.8,224.6829,True
38,llama70battention,amdsharkfa,1,40,2048,4096,128,fp16,733.8572,215.5789,234.1037,True
42,llama70battention,amdsharkfa,1,40,4096,1024,128,fp16,351.9011,195.0476,244.1008,True
45,llama70battention,amdsharkfa,1,40,4096,2048,128,fp16,661.6807,215.5789,259.6399,True
48,llama70battention,amdsharkfa,1,64,1024,1024,128,fp16,163.1546,170.6667,210.5962,True
51,llama70battention,amdsharkfa,1,64,1024,2048,128,fp16,282.1159,186.1818,243.5859,True
54,llama70battention,amdsharkfa,1,64,1024,4096,128,fp16,551.2953,195.0476,249.3019,True
57,llama70battention,amdsharkfa,1,64,2048,1024,128,fp16,291.6479,186.1818,235.6248,True
60,llama70battention,amdsharkfa,1,64,2048,2048,128,fp16,537.4408,204.8,255.7286,True
63,llama70battention,amdsharkfa,1,64,4096,1024,128,fp16,517.4017,195.0476,265.633,True
64,llama70battention,amdsharkfa,2,32,1024,1024,128,fp16,169.9018,170.6667,202.2329,True
65,llama70battention,amdsharkfa,2,32,1024,2048,128,fp16,293.3717,186.1818,234.2403,True
66,llama70battention,amdsharkfa,2,32,1024,4096,128,fp16,545.8879,195.0476,251.7714,True
67,llama70battention,amdsharkfa,2,32,2048,1024,128,fp16,293.0045,186.1818,234.5339,True
68,llama70battention,amdsharkfa,2,32,2048,2048,128,fp16,543.8995,204.8,252.6918,True
70,llama70battention,amdsharkfa,2,32,4096,1024,128,fp16,514.5478,195.0476,267.1063,True
71,llama70battention,amdsharkfa,2,40,1024,1024,128,fp16,219.8076,170.6667,195.3966,True
72,llama70battention,amdsharkfa,2,40,1024,2048,128,fp16,396.7094,186.1818,216.5296,True
73,llama70battention,amdsharkfa,2,40,1024,4096,128,fp16,759.9211,195.0476,226.0744,True
74,llama70battention,amdsharkfa,2,40,2048,1024,128,fp16,362.4225,186.1818,237.0144,True
76,llama70battention,amdsharkfa,2,40,2048,2048,128,fp16,673.3918,204.8,255.1244,True
77,llama70battention,amdsharkfa,2,40,4096,1024,128,fp16,653.3384,195.0476,262.9551,True
80,llama70battention,amdsharkfa,2,64,1024,1024,128,fp16,301.0988,170.6667,228.229,True
83,llama70battention,amdsharkfa,2,64,1024,2048,128,fp16,565.5336,186.1818,243.0252,True
84,llama70battention,amdsharkfa,2,64,2048,1024,128,fp16,537.0951,186.1818,255.8932,True
85,llama70battention,amdsharkfa,4,32,1024,1024,128,fp16,302.3171,170.6667,227.3092,True
86,llama70battention,amdsharkfa,4,32,1024,2048,128,fp16,561.4495,186.1818,244.7931,True
87,llama70battention,amdsharkfa,4,32,2048,1024,128,fp16,536.1962,186.1818,256.3221,True
88,llama70battention,amdsharkfa,4,40,1024,1024,128,fp16,374.167,170.6667,229.5749,True
89,llama70battention,amdsharkfa,4,40,1024,2048,128,fp16,699.5368,186.1818,245.5892,True
90,llama70battention,amdsharkfa,4,40,2048,1024,128,fp16,668.4375,186.1818,257.0153,True
91,llama70battention,amdsharkfa,4,64,1024,1024,128,fp16,550.9281,170.6667,249.468,True
92,sdxlattention,amdsharkfa,2,10,4096,4096,64,fp16,466.7425,120.4706,184.0401,True
93,sdxlattention,amdsharkfa,2,10,4096,64,64,fp16,41.9116,42.2268,32.024,True
94,sdxlattention,amdsharkfa,2,10,1024,1024,64,fp16,60.7944,102.4,88.3093,True
95,sdxlattention,amdsharkfa,2,20,1024,64,64,fp16,40.8483,40.96,16.4288,True
